id,listing_id,unit_id,updated_at
543037949,24970611,UN0329,2019-10-06 4:09:31
543037950,21402220,UN0330,2019-10-06 4:09:31
543037951,22285842,UN0331,2019-10-06 4:09:31
543037953,16208194,UN0333,2019-10-06 4:09:31
543037954,16275650,UN0333,2019-10-06 4:09:31
543037956,16409277,UN0334,2019-10-06 4:09:31
543037967,19739549,UN0351,2019-10-06 4:09:31
543037974,22974384,UN0357,2019-10-06 4:09:31
543037982,10600197,UN0366,2019-10-06 4:09:31
543037983,11991186,UN0366,2019-10-06 4:09:31
543037984,24859853,UN0366,2019-10-06 4:09:31
543037986,5056812,UN0366,2019-10-06 4:09:31
543037987,AGDL-229582659,UN0366,2019-10-06 4:09:31
543037989,12278239,UN0367,2019-10-06 4:09:31
543037990,5056787,UN0367,2019-10-06 4:09:31
543037992,12549990,UN0368,2019-10-06 4:09:31
543037993,5056822,UN0368,2019-10-06 4:09:31
543037994,4398448,UN0369,2019-10-06 4:09:31
543037995,448545102,UN0369,2019-10-06 4:09:31
543037996,5056804,UN0369,2019-10-06 4:09:31
543037998,5056786,UN0370,2019-10-06 4:09:31
543038000,5056821,UN0371,2019-10-06 4:09:31
543038002,5056803,UN0372,2019-10-06 4:09:31
543038004,5056785,UN0373,2019-10-06 4:09:31
543038005,17635490,UN0374,2019-10-06 4:09:31
543038006,5056820,UN0374,2019-10-06 4:09:31
543038008,4327086,UN0375,2019-10-06 4:09:31
543038009,5056802,UN0375,2019-10-06 4:09:31
543038011,5056784,UN0376,2019-10-06 4:09:31
543038012,448545101,UN0377,2019-10-06 4:09:31
543038013,20199086,UN0381,2019-10-06 4:09:31
543038014,20201410,UN0381,2019-10-06 4:09:31
543038016,17613899,UN0382,2019-10-06 4:09:31
543038020,26169121,UN0385,2019-10-06 4:09:31
543038021,26169727,UN0385,2019-10-06 4:09:31
543038023,17947335,UN0388,2019-10-06 4:09:31
543038025,20337073,UN0389,2019-10-06 4:09:31
543038026,23599440,UN0391,2019-10-06 4:09:31
543038027,23931298,UN0392,2019-10-06 4:09:31
543038028,23733470,UN0393,2019-10-06 4:09:31
543038029,23931523,UN0394,2019-10-06 4:09:31
543038030,24563595,UN0395,2019-10-06 4:09:31
543038031,24639378,UN0396,2019-10-06 4:09:31
543038032,23983419,UN0402,2019-10-06 4:09:31
543038034,23983863,UN0404,2019-10-06 4:09:31
543038035,16936046,UN0407,2019-10-06 4:09:31
543038036,16936068,UN0407,2019-10-06 4:09:31
543038037,17113724,UN0407,2019-10-06 4:09:31
543038038,17124250,UN0407,2019-10-06 4:09:31
543038039,19397406,UN0407,2019-10-06 4:09:31
543038040,17963870,UN0408,2019-10-06 4:09:31
543038041,18100564,UN0408,2019-10-06 4:09:31
543038042,16934686,UN0409,2019-10-06 4:09:31
543038043,17127595,UN0409,2019-10-06 4:09:31
543038044,17112390,UN0410,2019-10-06 4:09:31
543038045,16934724,UN0411,2019-10-06 4:09:31
